Date,Open,High,Low,Close
04/22/2020,"23,437.34","23,613.10","23,339.60","23,475.82"
04/21/2020,"23,365.25","23,365.25","22,941.88","23,018.88"
04/20/2020,"24,095.10","24,108.69","23,627.19","23,650.44"
04/17/2020,"23,817.15","24,264.21","23,817.15","24,242.49"
04/16/2020,"23,543.66","23,598.08","23,211.38","23,537.68"
04/15/2020,"23,600.72","23,649.72","23,233.32","23,504.35"
04/14/2020,"23,690.57","24,040.58","23,683.44","23,949.76"
04/13/2020,"23,698.93","23,698.93","23,095.35","23,390.77"
04/09/2020,"23,690.66","24,008.99","23,504.09","23,719.37"
04/08/2020,"22,893.47","23,513.40","22,682.99","23,433.57"
04/07/2020,"23,537.44","23,617.24","22,634.45","22,653.86"
04/06/2020,"21,693.63","22,783.45","21,693.63","22,679.99"
04/03/2020,"21,285.93","21,447.81","20,863.09","21,052.53"
04/02/2020,"20,819.46","21,477.77","20,735.02","21,413.44"
04/01/2020,"21,227.38","21,487.24","20,784.43","20,943.51"
03/31/2020,"22,208.42","22,480.37","21,852.08","21,917.16"
03/30/2020,"21,678.22","22,378.09","21,522.08","22,327.48"
03/27/2020,"21,898.47","22,327.57","21,469.27","21,636.78"
03/26/2020,"21,468.38","22,595.06","21,427.10","22,552.17"
03/25/2020,"21,050.34","22,019.93","20,538.34","21,200.55"
03/24/2020,"19,722.19","20,737.70","19,649.25","20,704.91"
03/23/2020,"19,028.36","19,121.01","18,213.65","18,591.93"
03/20/2020,"20,253.15","20,531.26","19,094.27","19,173.98"
03/19/2020,"19,830.01","20,442.63","19,177.13","20,087.19"
03/18/2020,"20,188.69","20,489.33","18,917.46","19,898.92"
03/17/2020,"20,487.05","21,379.35","19,882.26","21,237.38"
03/16/2020,"20,917.53","21,768.28","20,116.46","20,188.52"
03/13/2020,"21,973.82","23,189.76","21,285.37","23,185.62"
03/12/2020,"22,184.71","22,837.95","21,154.46","21,200.62"
03/11/2020,"24,604.63","24,604.63","23,328.32","23,553.22"
03/10/2020,"24,453.00","25,020.99","23,690.34","25,018.16"
03/09/2020,"24,992.36","24,992.36","23,706.07","23,851.02"
03/06/2020,"25,457.21","25,994.38","25,226.62","25,864.78"
03/05/2020,"26,671.92","26,671.92","25,943.33","26,121.28"
03/04/2020,"26,383.68","27,102.34","26,286.31","27,090.86"
03/03/2020,"26,762.47","27,084.59","25,706.28","25,917.41"
03/02/2020,"25,590.51","26,706.17","25,391.96","26,703.32"
02/28/2020,"25,270.83","25,494.24","24,681.01","25,409.36"
02/27/2020,"26,526.00","26,775.31","25,752.82","25,766.64"
02/26/2020,"27,159.46","27,542.78","26,890.97","26,957.59"
02/25/2020,"28,037.65","28,149.20","26,997.62","27,081.36"
02/24/2020,"28,402.93","28,402.93","27,912.44","27,960.80"
02/21/2020,"29,146.53","29,146.53","28,892.70","28,992.41"
02/20/2020,"29,296.25","29,368.45","28,959.65","29,219.98"
02/19/2020,"29,312.70","29,409.09","29,274.38","29,348.03"
02/18/2020,"29,282.78","29,330.16","29,116.81","29,232.19"
02/14/2020,"29,440.47","29,463.04","29,283.18","29,398.08"
02/13/2020,"29,436.03","29,535.40","29,345.93","29,423.31"
02/12/2020,"29,406.75","29,568.57","29,406.75","29,551.42"
02/11/2020,"29,390.71","29,415.39","29,210.47","29,276.34"
02/10/2020,"28,995.66","29,278.07","28,995.66","29,276.82"
02/07/2020,"29,286.92","29,286.92","29,056.98","29,102.51"
02/06/2020,"29,388.58","29,408.05","29,246.93","29,379.77"
02/05/2020,"29,048.73","29,308.89","29,000.85","29,290.85"
02/04/2020,"28,696.74","28,904.88","28,696.74","28,807.63"
02/03/2020,"28,319.65","28,630.39","28,319.65","28,399.81"
01/31/2020,"28,813.04","28,813.04","28,169.53","28,256.03"
01/30/2020,"28,640.16","28,879.71","28,489.76","28,859.44"
01/29/2020,"28,820.53","28,944.24","28,728.19","28,734.45"
01/28/2020,"28,594.28","28,823.23","28,575.75","28,722.85"
01/27/2020,"28,542.49","28,671.79","28,440.47","28,535.80"
01/24/2020,"29,230.39","29,288.79","28,843.31","28,989.73"
01/23/2020,"29,111.02","29,190.47","28,966.98","29,160.09"
01/22/2020,"29,263.63","29,320.20","29,172.26","29,186.27"
01/21/2020,"29,269.05","29,341.21","29,146.47","29,196.04"
01/17/2020,"29,313.31","29,373.62","29,289.91","29,348.10"
01/16/2020,"29,131.95","29,300.32","29,131.95","29,297.64"
01/15/2020,"28,901.80","29,127.59","28,897.35","29,030.22"
01/14/2020,"28,895.50","29,054.16","28,872.27","28,939.67"
01/13/2020,"28,869.01","28,909.91","28,819.43","28,907.05"
01/10/2020,"28,977.52","29,009.07","28,789.10","28,823.77"
01/09/2020,"28,851.97","28,988.01","28,844.31","28,956.90"
01/08/2020,"28,556.14","28,866.18","28,522.51","28,745.09"
01/07/2020,"28,639.18","28,685.50","28,565.28","28,583.68"
01/06/2020,"28,465.50","28,708.02","28,418.63","28,703.38"
01/03/2020,"28,553.33","28,716.31","28,500.36","28,634.88"
01/02/2020,"28,638.97","28,872.80","28,627.77","28,868.80"
12/31/2019,"28,414.64","28,547.35","28,376.49","28,538.44"
12/30/2019,"28,654.76","28,664.69","28,428.98","28,462.14"
12/27/2019,"28,675.34","28,701.66","28,608.98","28,645.26"
12/26/2019,"28,539.46","28,624.10","28,535.15","28,621.39"
12/24/2019,"28,572.57","28,576.80","28,503.21","28,515.45"
12/23/2019,"28,491.78","28,582.49","28,491.78","28,551.53"
12/20/2019,"28,608.64","28,608.64","28,445.60","28,455.09"
12/19/2019,"28,278.31","28,381.48","28,278.24","28,376.96"
12/18/2019,"28,291.44","28,323.25","28,239.28","28,239.28"
12/17/2019,"28,221.75","28,328.63","28,220.56","28,267.16"
12/16/2019,"28,191.67","28,337.49","28,191.67","28,235.89"
12/13/2019,"28,123.64","28,290.73","28,028.32","28,135.38"
12/12/2019,"27,898.34","28,224.95","27,859.87","28,132.05"
12/11/2019,"27,867.31","27,925.50","27,801.80","27,911.30"
12/10/2019,"27,900.65","27,949.02","27,804.00","27,881.72"
12/09/2019,"27,987.05","28,010.42","27,906.14","27,909.60"
12/06/2019,"27,839.68","28,035.85","27,839.68","28,015.06"
12/05/2019,"27,736.05","27,745.20","27,562.80","27,677.79"
12/04/2019,"27,634.63","27,727.45","27,612.08","27,649.78"
12/03/2019,"27,501.98","27,524.74","27,325.13","27,502.81"
12/02/2019,"28,109.74","28,109.84","27,782.35","27,783.04"
11/29/2019,"28,103.16","28,119.51","28,042.53","28,051.41"
11/27/2019,"28,156.47","28,174.97","28,075.23","28,164.00"
11/26/2019,"28,080.75","28,146.02","28,042.21","28,121.68"
11/25/2019,"27,917.77","28,068.69","27,917.77","28,066.47"
11/22/2019,"27,831.23","27,898.46","27,773.98","27,875.62"
11/21/2019,"27,820.28","27,828.33","27,708.34","27,766.29"
11/20/2019,"27,879.55","27,897.28","27,675.28","27,821.09"
11/19/2019,"28,079.76","28,090.21","27,894.52","27,934.02"
11/18/2019,"27,993.22","28,040.97","27,969.24","28,036.22"
11/15/2019,"27,843.54","28,004.89","27,843.54","28,004.89"
11/14/2019,"27,757.20","27,800.71","27,676.97","27,781.96"
11/13/2019,"27,622.04","27,806.40","27,587.20","27,783.59"
11/12/2019,"27,701.59","27,770.86","27,635.32","27,691.49"
11/11/2019,"27,580.66","27,714.39","27,517.67","27,691.49"
11/08/2019,"27,686.20","27,694.95","27,578.97","27,681.24"
11/07/2019,"27,590.16","27,774.67","27,590.16","27,674.80"
11/06/2019,"27,502.74","27,526.05","27,407.81","27,492.56"
11/05/2019,"27,500.23","27,560.36","27,453.55","27,492.63"
11/04/2019,"27,402.06","27,517.58","27,402.06","27,462.11"
11/01/2019,"27,142.95","27,347.43","27,142.95","27,347.36"
10/31/2019,"27,188.37","27,188.37","26,918.29","27,046.23"
10/30/2019,"27,110.71","27,204.36","26,999.64","27,186.69"
10/29/2019,"27,061.07","27,165.94","27,039.76","27,071.42"
10/28/2019,"27,040.33","27,167.88","27,028.71","27,090.72"
10/25/2019,"26,789.61","27,015.37","26,765.68","26,958.06"
10/24/2019,"26,893.93","26,931.78","26,714.34","26,805.53"
10/23/2019,"26,835.24","26,896.89","26,745.00","26,833.95"
10/22/2019,"26,850.43","26,946.64","26,782.61","26,788.10"
10/21/2019,"26,852.67","26,852.67","26,747.62","26,827.64"
10/18/2019,"27,004.49","27,018.25","26,770.13","26,770.20"
10/17/2019,"27,032.38","27,112.16","26,970.29","27,025.88"
10/16/2019,"26,972.31","27,058.34","26,943.29","27,001.98"
10/15/2019,"26,811.20","27,120.11","26,811.20","27,024.80"
10/14/2019,"26,766.43","26,874.33","26,749.18","26,787.36"
10/11/2019,"26,694.20","27,013.97","26,694.20","26,816.59"
10/10/2019,"26,317.35","26,603.31","26,314.51","26,496.67"
10/09/2019,"26,308.23","26,424.31","26,249.75","26,346.01"
10/08/2019,"26,276.59","26,421.81","26,139.80","26,164.04"
10/07/2019,"26,502.33","26,655.84","26,424.54","26,478.02"
10/04/2019,"26,271.70","26,590.74","26,271.70","26,573.72"
10/03/2019,"26,039.02","26,205.20","25,743.46","26,201.04"
10/02/2019,"26,425.86","26,438.04","25,974.12","26,078.62"
10/01/2019,"26,962.54","27,046.21","26,562.22","26,573.04"
09/30/2019,"26,852.33","26,998.86","26,852.33","26,916.83"
09/27/2019,"26,987.26","27,012.54","26,715.82","26,820.25"
09/26/2019,"27,004.11","27,015.07","26,803.84","26,891.12"
09/25/2019,"26,866.71","27,016.56","26,755.86","26,970.71"
09/24/2019,"27,034.07","27,079.68","26,704.96","26,807.77"
09/23/2019,"26,851.45","27,011.07","26,831.34","26,949.99"
09/20/2019,"27,102.18","27,194.75","26,926.68","26,935.07"
09/19/2019,"27,186.05","27,272.17","27,064.21","27,094.79"
09/18/2019,"27,075.39","27,161.93","26,899.15","27,147.08"
09/17/2019,"27,010.12","27,110.80","26,984.14","27,110.80"
09/16/2019,"27,146.06","27,172.87","27,032.56","27,076.82"
09/13/2019,"27,216.67","27,277.55","27,193.95","27,219.52"
09/12/2019,"27,197.32","27,306.73","27,105.01","27,182.45"
09/11/2019,"26,928.05","27,137.04","26,885.48","27,137.04"
09/10/2019,"26,805.83","26,909.43","26,717.05","26,909.43"
09/09/2019,"26,866.23","26,900.83","26,762.18","26,835.51"
09/06/2019,"26,790.25","26,860.87","26,708.39","26,797.46"
09/05/2019,"26,603.15","26,836.30","26,603.15","26,728.15"
09/04/2019,"26,301.99","26,362.35","26,244.44","26,355.47"
09/03/2019,"26,198.26","26,198.26","25,978.22","26,118.02"
08/30/2019,"26,476.39","26,514.62","26,295.59","26,403.28"
08/29/2019,"26,249.09","26,408.84","26,185.71","26,362.25"
08/28/2019,"25,712.99","26,041.57","25,637.43","26,036.10"
08/27/2019,"26,014.46","26,054.02","25,721.85","25,777.90"
08/26/2019,"25,826.05","25,941.25","25,716.39","25,898.83"
08/23/2019,"26,134.21","26,320.29","25,507.18","25,628.90"
08/22/2019,"26,271.64","26,388.78","26,099.01","26,252.24"
08/21/2019,"26,145.36","26,268.32","26,141.77","26,202.73"
08/20/2019,"26,086.86","26,160.12","25,952.00","25,962.44"
08/19/2019,"26,020.06","26,222.32","26,020.06","26,135.79"
08/16/2019,"25,678.17","25,929.65","25,678.17","25,886.01"
08/15/2019,"25,514.25","25,639.69","25,339.60","25,579.39"
08/14/2019,"26,035.08","26,035.08","25,471.59","25,479.42"
08/13/2019,"25,888.88","26,426.97","25,833.25","26,279.91"
08/12/2019,"26,169.91","26,178.95","25,824.94","25,907.37"
08/09/2019,"26,337.09","26,413.36","26,097.64","26,287.44"
08/08/2019,"26,086.52","26,383.61","26,038.10","26,378.19"
08/07/2019,"25,814.22","26,073.21","25,440.39","26,007.07"
08/06/2019,"25,810.62","26,038.68","25,710.87","26,029.52"
08/05/2019,"26,259.23","26,259.23","25,523.38","25,717.74"
08/02/2019,"26,528.66","26,570.02","26,249.22","26,485.01"
08/01/2019,"26,879.86","27,175.59","26,548.71","26,583.42"
07/31/2019,"27,244.67","27,281.65","26,719.60","26,864.27"
07/30/2019,"27,145.39","27,224.36","27,069.86","27,198.02"
07/29/2019,"27,192.24","27,275.85","27,178.06","27,221.35"
07/26/2019,"27,166.00","27,213.70","27,123.25","27,192.45"
07/25/2019,"27,247.39","27,298.43","27,062.48","27,140.98"
07/24/2019,"27,262.24","27,291.04","27,191.12","27,269.97"
07/23/2019,"27,231.86","27,368.81","27,204.58","27,349.19"
07/22/2019,"27,174.18","27,227.77","27,088.90","27,171.90"
07/19/2019,"27,246.38","27,342.96","27,145.78","27,154.20"
07/18/2019,"27,191.98","27,266.81","27,068.79","27,222.97"
07/17/2019,"27,320.91","27,343.06","27,218.38","27,219.85"
07/16/2019,"27,349.32","27,398.68","27,290.24","27,335.63"
07/15/2019,"27,364.69","27,364.69","27,294.17","27,359.16"
07/12/2019,"27,139.49","27,333.79","27,135.45","27,332.03"
07/11/2019,"26,950.16","27,088.45","26,916.32","27,088.08"
07/10/2019,"26,851.96","26,983.45","26,813.11","26,860.20"
07/09/2019,"26,725.12","26,807.70","26,665.57","26,783.49"
07/08/2019,"26,835.64","26,839.14","26,744.87","26,806.14"
07/05/2019,"26,867.75","26,950.81","26,733.33","26,922.12"
07/03/2019,"26,832.32","26,966.00","26,831.44","26,966.00"
07/02/2019,"26,719.53","26,787.56","26,632.65","26,786.68"
07/01/2019,"26,805.86","26,890.64","26,616.21","26,717.43"
06/28/2019,"26,605.93","26,638.35","26,522.27","26,599.96"
06/27/2019,"26,523.72","26,607.24","26,465.32","26,526.58"
06/26/2019,"26,599.42","26,660.04","26,536.33","26,536.82"
06/25/2019,"26,731.61","26,752.31","26,527.66","26,548.22"
06/24/2019,"26,727.61","26,806.52","26,723.37","26,727.54"
06/21/2019,"26,749.12","26,907.37","26,705.87","26,719.13"
06/20/2019,"26,665.38","26,798.63","26,539.69","26,753.17"
06/19/2019,"26,490.16","26,569.75","26,415.05","26,504.00"
06/18/2019,"26,228.88","26,527.19","26,227.76","26,465.54"
06/17/2019,"26,108.53","26,165.78","26,049.80","26,112.53"
06/14/2019,"26,076.36","26,162.28","25,988.09","26,089.61"
06/13/2019,"26,036.94","26,146.91","25,995.71","26,106.77"
06/12/2019,"26,040.30","26,082.10","25,958.66","26,004.83"
06/11/2019,"26,180.59","26,248.67","25,998.87","26,048.51"
06/10/2019,"26,090.22","26,210.61","26,054.31","26,062.68"
06/07/2019,"25,768.72","26,072.75","25,768.72","25,983.94"
06/06/2019,"25,567.45","25,800.30","25,518.05","25,720.66"
06/05/2019,"25,451.00","25,544.66","25,373.58","25,539.57"
06/04/2019,"24,962.82","25,343.77","24,962.82","25,332.18"
06/03/2019,"24,830.16","24,935.21","24,680.57","24,819.78"
05/31/2019,"25,046.31","25,046.31","24,809.51","24,815.04"
05/30/2019,"25,139.94","25,218.54","25,066.75","25,169.88"
05/29/2019,"25,231.46","25,231.46","24,938.24","25,126.41"
05/28/2019,"25,616.55","25,717.63","25,342.28","25,347.77"
05/24/2019,"25,551.07","25,670.81","25,496.20","25,585.69"
05/23/2019,"25,657.99","25,657.99","25,328.09","25,490.47"
05/22/2019,"25,818.46","25,878.21","25,755.11","25,776.61"
05/21/2019,"25,782.34","25,898.27","25,779.61","25,877.33"
05/20/2019,"25,655.31","25,751.71","25,560.55","25,679.90"
05/17/2019,"25,719.95","25,948.74","25,657.78","25,764.00"
