Date,Open,High,Low,Close
11/05/2021,"36,268.75","36,484.75","36,190.20","36,327.95"
11/04/2021,"36,107.46","36,168.03","35,986.48","36,124.23"
11/03/2021,"36,059.09","36,178.51","35,891.73","36,157.58"
11/02/2021,"35,935.11","36,088.81","35,884.13","36,052.63"
11/01/2021,"35,833.65","36,009.74","35,797.97","35,913.84"
10/29/2021,"35,712.28","35,852.53","35,633.20","35,819.56"
10/28/2021,"35,545.41","35,742.25","35,545.41","35,730.48"
10/27/2021,"35,835.43","35,835.43","35,490.43","35,490.69"
10/26/2021,"35,791.05","35,892.92","35,734.73","35,756.88"
10/25/2021,"35,692.62","35,787.04","35,629.37","35,741.15"
10/22/2021,"35,607.72","35,765.02","35,533.95","35,677.02"
10/21/2021,"35,520.32","35,612.36","35,442.53","35,603.08"
10/20/2021,"35,475.16","35,669.69","35,465.71","35,609.34"
10/19/2021,"35,325.37","35,462.68","35,290.12","35,457.31"
10/18/2021,"35,221.02","35,327.57","35,035.94","35,258.61"
10/15/2021,"35,023.63","35,320.97","35,023.63","35,294.76"
10/14/2021,"34,443.22","34,923.83","34,443.22","34,912.56"
10/13/2021,"34,372.71","34,449.83","34,115.10","34,377.81"
10/12/2021,"34,507.15","34,611.24","34,318.94","34,378.34"
10/11/2021,"34,723.79","34,951.35","34,486.51","34,496.06"
10/08/2021,"34,757.57","34,842.62","34,661.95","34,746.25"
10/07/2021,"34,509.72","34,975.19","34,509.72","34,754.94"
10/06/2021,"34,198.96","34,432.68","33,854.69","34,416.99"
10/05/2021,"34,035.25","34,490.95","34,035.25","34,314.67"
10/04/2021,"34,312.96","34,410.28","33,821.58","34,002.92"
10/01/2021,"33,930.70","34,490.56","33,785.54","34,326.46"
09/30/2021,"34,467.98","34,557.37","33,833.32","33,843.92"
09/29/2021,"34,360.08","34,580.42","34,305.96","34,390.72"
09/28/2021,"34,747.70","34,798.21","34,254.65","34,299.99"
09/27/2021,"34,739.27","35,061.12","34,739.27","34,869.37"
09/24/2021,"34,762.31","34,857.06","34,648.08","34,798.00"
09/23/2021,"34,296.30","34,879.78","34,296.30","34,764.82"
09/22/2021,"34,006.87","34,440.42","34,006.87","34,258.32"
09/21/2021,"34,025.61","34,313.88","33,914.02","33,919.84"
09/20/2021,"34,459.72","34,459.72","33,613.03","33,970.47"
09/17/2021,"34,737.86","34,779.86","34,519.63","34,584.88"
09/16/2021,"34,810.27","34,943.55","34,540.11","34,751.32"
09/15/2021,"34,580.95","34,880.77","34,522.03","34,814.39"
09/14/2021,"34,906.90","34,990.36","34,510.30","34,577.57"
09/13/2021,"34,665.50","34,939.10","34,665.50","34,869.63"
09/10/2021,"34,949.59","35,104.25","34,599.61","34,607.72"
09/09/2021,"35,013.08","35,199.89","34,847.30","34,879.38"
09/08/2021,"35,087.45","35,175.15","34,925.61","35,031.07"
09/07/2021,"35,373.24","35,373.24","35,060.90","35,100.00"
09/03/2021,"35,401.73","35,422.71","35,269.40","35,369.09"
09/02/2021,"35,353.06","35,475.40","35,348.48","35,443.82"
09/01/2021,"35,387.55","35,407.37","35,287.05","35,312.53"
08/31/2021,"35,391.38","35,449.79","35,289.86","35,360.73"
08/30/2021,"35,471.80","35,510.71","35,374.46","35,399.84"
08/27/2021,"35,231.11","35,479.18","35,231.11","35,455.80"
08/26/2021,"35,449.68","35,498.45","35,205.10","35,213.12"
08/25/2021,"35,388.77","35,501.14","35,287.63","35,405.50"
08/24/2021,"35,382.72","35,445.47","35,356.18","35,366.26"
08/23/2021,"35,160.97","35,428.91","35,160.97","35,335.71"
08/20/2021,"34,917.96","35,177.26","34,867.07","35,120.08"
08/19/2021,"34,874.67","34,997.81","34,690.25","34,894.12"
08/18/2021,"35,310.20","35,356.80","34,943.41","34,960.69"
08/17/2021,"35,500.01","35,500.01","35,120.31","35,343.28"
08/16/2021,"35,490.83","35,631.19","35,231.87","35,625.40"
08/13/2021,"35,551.56","35,610.57","35,474.78","35,515.38"
08/12/2021,"35,481.94","35,510.77","35,352.53","35,499.85"
08/11/2021,"35,300.89","35,501.16","35,300.89","35,484.97"
08/10/2021,"35,135.17","35,285.16","35,091.91","35,264.67"
08/09/2021,"35,229.67","35,229.67","35,041.24","35,101.85"
08/06/2021,"35,077.44","35,246.79","35,077.44","35,208.51"
08/05/2021,"34,815.61","35,067.54","34,815.61","35,064.25"
08/04/2021,"35,047.44","35,047.44","34,790.62","34,792.67"
08/03/2021,"34,864.10","35,120.94","34,714.33","35,116.40"
08/02/2021,"34,968.56","35,192.11","34,808.20","34,838.16"
07/30/2021,"35,013.26","35,106.30","34,871.13","34,935.47"
07/29/2021,"34,985.99","35,171.52","34,985.99","35,084.53"
07/28/2021,"35,109.95","35,116.37","34,876.84","34,930.93"
07/27/2021,"35,078.90","35,078.90","34,878.07","35,058.52"
07/26/2021,"35,055.86","35,150.37","34,950.19","35,144.31"
07/23/2021,"34,855.11","35,095.33","34,855.11","35,061.55"
07/22/2021,"34,799.68","34,879.28","34,673.03","34,823.35"
07/21/2021,"34,556.96","34,820.24","34,556.96","34,798.00"
07/20/2021,"33,981.79","34,621.79","33,981.79","34,511.99"
07/19/2021,"34,528.48","34,528.48","33,741.76","33,962.04"
07/16/2021,"35,007.94","35,090.01","34,647.82","34,687.85"
07/15/2021,"34,924.81","34,990.41","34,762.87","34,987.02"
07/14/2021,"34,920.83","35,069.18","34,826.87","34,933.23"
07/13/2021,"34,959.96","35,018.79","34,876.89","34,888.79"
07/12/2021,"34,836.75","35,014.90","34,730.15","34,996.18"
07/09/2021,"34,457.51","34,893.72","34,457.51","34,870.16"
07/08/2021,"34,569.01","34,569.01","34,145.59","34,421.93"
07/07/2021,"34,604.17","34,708.78","34,435.59","34,681.79"
07/06/2021,"34,790.16","34,814.20","34,358.42","34,577.37"
07/02/2021,"34,642.42","34,821.93","34,613.49","34,786.35"
07/01/2021,"34,507.32","34,640.28","34,498.85","34,633.53"
06/30/2021,"34,290.74","34,553.16","34,245.48","34,502.51"
06/29/2021,"34,338.89","34,469.83","34,266.83","34,292.29"
06/28/2021,"34,428.10","34,449.65","34,186.13","34,283.27"
06/25/2021,"34,328.10","34,501.02","34,314.80","34,433.84"
06/24/2021,"33,933.91","34,233.02","33,933.91","34,196.82"
06/23/2021,"33,948.54","34,009.40","33,869.83","33,874.24"
06/22/2021,"33,872.56","34,040.70","33,751.06","33,945.58"
06/21/2021,"33,312.07","33,908.09","33,312.07","33,876.97"
06/18/2021,"33,622.70","33,622.70","33,271.93","33,290.08"
06/17/2021,"34,014.38","34,091.79","33,626.61","33,823.45"
06/16/2021,"34,308.48","34,333.25","33,917.11","34,033.67"
06/15/2021,"34,397.10","34,420.38","34,199.16","34,299.33"
06/14/2021,"34,472.52","34,472.52","34,211.54","34,393.75"
06/11/2021,"34,499.81","34,618.09","34,328.65","34,479.60"
06/10/2021,"34,502.51","34,737.79","34,447.25","34,466.24"
06/09/2021,"34,626.16","34,654.67","34,439.37","34,447.14"
06/08/2021,"34,645.84","34,665.38","34,452.94","34,599.82"
06/07/2021,"34,766.20","34,820.91","34,574.51","34,630.24"
06/04/2021,"34,618.69","34,772.12","34,618.69","34,756.39"
06/03/2021,"34,550.31","34,667.41","34,334.41","34,577.04"
06/02/2021,"34,614.62","34,706.65","34,545.96","34,600.38"
06/01/2021,"34,584.19","34,849.32","34,542.87","34,575.31"
05/28/2021,"34,558.50","34,631.11","34,520.09","34,529.45"
05/27/2021,"34,432.47","34,608.82","34,389.24","34,464.64"
05/26/2021,"34,336.34","34,409.59","34,271.44","34,323.05"
05/25/2021,"34,428.66","34,511.35","34,266.03","34,312.46"
05/24/2021,"34,253.87","34,472.51","34,253.87","34,393.98"
05/21/2021,"34,121.91","34,415.48","34,121.91","34,207.84"
05/20/2021,"33,906.30","34,233.40","33,872.41","34,084.15"
05/19/2021,"33,945.81","33,945.81","33,473.80","33,896.04"
05/18/2021,"34,351.18","34,408.99","34,044.10","34,060.66"
05/17/2021,"34,375.29","34,383.84","34,176.65","34,327.79"
05/14/2021,"34,050.86","34,454.05","34,050.86","34,382.13"
05/13/2021,"33,624.74","34,181.77","33,623.49","34,021.45"
05/12/2021,"34,206.40","34,207.87","33,555.22","33,587.66"
05/11/2021,"34,572.74","34,572.74","34,075.31","34,269.16"
05/10/2021,"34,785.27","35,091.56","34,741.57","34,742.82"
05/07/2021,"34,578.27","34,811.39","34,464.31","34,777.76"
05/06/2021,"34,245.11","34,561.29","34,185.06","34,548.53"
05/05/2021,"34,163.99","34,331.20","34,039.66","34,230.34"
05/04/2021,"34,080.20","34,147.78","33,765.68","34,133.03"
05/03/2021,"33,904.89","34,221.06","33,904.89","34,113.23"
04/30/2021,"33,988.75","33,988.75","33,784.96","33,874.85"
04/29/2021,"33,855.64","34,087.21","33,744.28","34,060.36"
04/28/2021,"33,860.46","33,946.60","33,805.56","33,820.38"
04/27/2021,"33,932.13","34,043.98","33,870.46","33,984.93"
04/26/2021,"34,044.23","34,148.94","33,941.37","33,981.57"
04/23/2021,"33,804.52","34,157.57","33,713.29","34,043.49"
04/22/2021,"34,109.88","34,126.57","33,717.19","33,815.90"
